"","refseq","logFC","logCPM","PValue","FDR","GeneID","transcript_variant"
"1","NM_000046.4",2.23749360475728,6.1674781117163,0.00126343307419649,0.0276099320300324,"ARSB","transcriptvariant1"
"2","NM_000052.6",2.45305590614145,5.18390085730318,0.00248103107378786,0.0450611107275709,"ATP7A","transcriptvariant1"
"3","NM_000075.3",3.57579295402534,11.0933725524809,3.89157177150255e-07,4.69126838828385e-05,"CDK4","mRNA"
"4","NM_000089.3",4.44488951336368,12.6010787044722,1.95193612311942e-09,5.49044596682564e-07,"COL1A2","mRNA"
"5","NM_000090.3",7.97714459321108,11.1855122953075,2.92332720499787e-21,2.13792662925511e-17,"COL3A1","mRNA"
"6","NM_000112.3",2.70201037224384,7.06629081901915,5.03749497438387e-05,0.0024131580728817,"SLC26A2","mRNA"
"7","NM_000141.4",-6.36261901280012,2.85306948925085,0.00104414333026714,0.0242931185819975,"FGFR2","transcriptvariant1"
"8","NM_000186.3",6.07083641815685,6.66261072450153,7.53638601096889e-11,3.37445528736036e-08,"CFH","transcriptvariant1"
"9","NM_000189.4",-3.05245789578399,7.06806540144147,6.42805713071816e-06,0.000444894553463585,"HK2","mRNA"
"10","NM_000210.3",3.08505481986137,6.0086449895256,0.000386553450875359,0.011626573950624,"ITGA6","transcriptvariant2"
"11","NM_000211.4",3.34122976221345,6.08030485959775,5.69946850943848e-06,0.0003995090705977,"ITGB2","transcriptvariant1"
"12","NM_000212.2",5.30358078772243,8.05651798932179,6.82992172929652e-12,3.94338112475699e-09,"ITGB3","mRNA"
"13","NM_000215.3",4.67089447643035,4.06461115119555,0.000215025458560259,0.00739774414831365,"JAK3","mRNA"
"14","NM_000222.2",-6.5348226727895,3.44308357460066,8.35108625890714e-05,0.00358557402192608,"KIT","transcriptvariant1"
"15","NM_000237.2",3.57120719909283,3.78520298384775,0.00196726242309353,0.0385717047030134,"LPL","mRNA"
"16","NM_000245.3",-3.30804907985783,6.58122557311105,2.99081752635492e-06,0.000240360939663835,"MET","transcriptvariant2"
"17","NM_000289.5",4.78678026469492,7.91163800857688,2.90678890085948e-05,0.00154182313947747,"PFKM","transcriptvariant4"
"18","NM_000295.4",-11.835059665842,7.86262000969105,3.80457779079558e-10,1.23262533974396e-07,"SERPINA1","transcriptvariant1"
"19","NM_000345.3",3.36556284642207,3.65966349145455,0.00257877305348811,0.0463751437782172,"SNCA","transcriptvariant1"
"20","NM_000396.3",5.41828615696803,6.28225401695116,2.57757661011735e-10,9.58508997050419e-08,"CTSK","mRNA"
"21","NM_000420.2",6.72952902394541,3.10243860244152,0.000467230407493877,0.0133651044855485,"KEL","mRNA"
"22","NM_000422.2",14.4422837601679,10.7274593719746,6.07272550580668e-28,1.33235597597399e-23,"KRT17","mRNA"
"23","NM_000426.3",5.92685080871863,3.38943571212949,0.000505899495064749,0.0142849870292414,"LAMA2","transcriptvariant1"
"24","NM_000459.4",6.15998287735616,2.68058148169181,0.00230048746416727,0.0433242016856909,"TEK","transcriptvariant1"
"25","NM_000475.4",6.3813590117405,2.83848809380702,0.00186298029399345,0.0369898530771188,"NR0B1","mRNA"
"26","NM_000481.3",6.67477191074668,3.06077116473734,0.00117213927695551,0.0261881219311648,"AMT","transcriptvariant1"
"27","NM_000489.4",4.91086502951801,5.42706454195559,9.1299152200565e-08,1.30071649303922e-05,"ATRX","transcriptvariant1"
"28","NM_000493.3",-4.73494399673288,2.7456583385253,0.0025550749626022,0.0461006124008982,"COL10A1","mRNA"
"29","NM_000495.4",6.84086941761121,6.2123122890932,3.19846524867947e-10,1.1503988123939e-07,"COL4A5","transcriptvariant1"
"30","NM_000496.2",3.64080584485688,4.33840248960476,0.000302386074461977,0.00953211274956291,"CRYBB2","mRNA"
"31","NM_000527.4",3.59864361025253,8.25842476416982,8.70521529235514e-07,9.0517736262688e-05,"LDLR","transcriptvariant1"
"32","NM_000544.3",-5.59677846270819,5.2916437635579,1.61474075709732e-07,2.18393425994672e-05,"TAP2","transcriptvariant1"
"33","NM_000546.5",7.10514825234632,4.23119362434601,1.86526045929819e-06,0.000165179661069117,"TP53","transcriptvariant1"
"34","NM_000561.3",6.16848165548044,4.41235348044215,3.30806557651273e-06,0.000257195777262772,"GSTM1","transcriptvariant1"
"35","NM_000599.3",-6.45038424257335,6.26446554180999,2.24056755289176e-11,1.11722845705557e-08,"IGFBP5","mRNA"
"36","NM_000602.4",-2.70872649307755,7.21616719753327,8.11305976389709e-05,0.00351507742394619,"SERPINE1","mRNA"
"37","NM_000612.5",8.92672157500902,5.02584999062858,3.29220966794891e-08,5.78414971831278e-06,"IGF2","transcriptvariant1"
"38","NM_000623.3",3.10643675573043,5.89954635396414,3.32588773049427e-05,0.00170093186030406,"BDKRB2","mRNA"
"39","NM_000641.3",-2.97706067312841,8.37980662141026,3.46973719884097e-05,0.00176173663226306,"IL11","transcriptvariant1"
"40","NM_000660.6",-2.06889993927138,7.63423310213813,0.00280789489449724,0.0492447753679213,"TGFB1","mRNA"
"41","NM_000678.3",-5.94739733031675,3.42891085190475,0.000179714849442338,0.006411290726447,"ADRA1D","mRNA"
"42","NM_000693.3",4.35817078956385,5.47729653340603,4.04491263094152e-05,0.00199876989015444,"ALDH1A3","transcriptvariant1"
"43","NM_000694.3",4.65646695107664,5.24128359473244,6.28843473211158e-07,6.87737585100283e-05,"ALDH3B1","transcriptvariant1"
"44","NM_000719.6",5.43945441566325,3.46161904583945,0.000589984566824132,0.0159216007332367,"CACNA1C","transcriptvariant18"
"45","NM_000730.2",-5.51529587319276,2.87002019911556,0.00141750144964749,0.0301002746959603,"CCKAR","mRNA"
"46","NM_000737.3",-4.43582901104831,3.75668253775814,0.00278491290176576,0.0488807912517926,"CGB3","mRNA"
"47","NM_000794.4",5.4101787164761,5.36352759533711,2.24077284502051e-08,4.23815139825432e-06,"DRD1","mRNA"
"48","NM_000808.3",-4.35474054713115,3.46187860802217,0.000656616095720025,0.017211657276102,"GABRA3","mRNA"
"49","NM_000848.3",5.55025023155384,4.23265126268157,9.12333890551218e-06,0.00059751061369235,"GSTM2","transcriptvariant1"
"50","NM_000877.3",3.45255026466552,4.65110797092333,0.00137426145406978,0.0295022468711263,"IL1R1","transcriptvariant1"
"51","NM_000895.2",3.75573565798956,8.58055228787074,1.92838316436473e-08,3.77756487733591e-06,"LTA4H","transcriptvariant1"
"52","NM_000933.3",-3.99631876487478,5.43966230357421,3.17888431111789e-06,0.00025088029419398,"PLCB4","transcriptvariant1"
"53","NM_001001481.2",5.7921194366409,2.59049555308061,0.00254122518641533,0.0459262607824978,"UBE2W","transcriptvariant1"
"54","NM_001001522.2",-3.44119188163372,4.38764362828153,0.000631119851126835,0.0166834993950076,"TAGLN","transcriptvariant1"
"55","NM_001001550.2",-5.06324552226342,4.50076662402538,1.50666276606352e-05,0.000903174346651194,"GRB10","transcriptvariant3"
"56","NM_001001567.1",6.32636044504499,2.79927555656373,0.0010371897232928,0.0241570515170318,"PDE9A","transcriptvariant2"
"57","NM_001001851.2",4.73210025841976,3.21491431226722,0.00287545326309536,0.0499713369011089,"ITIH5","transcriptvariant3"
"58","NM_001001872.3",-6.18717469618845,3.44509136816527,0.000128808273813865,0.0049754463511905,"ARMH4","transcriptvariant1"
"59","NM_001001933.1",6.4334204110833,2.87737969782515,0.000933268615545833,0.0223536172762834,"LHX8","transcriptvariant1"
"60","NM_001001991.2",9.78619058412619,6.07399568352674,4.76607753277157e-13,3.87287929885216e-10,"PAMR1","transcriptvariant2"
"61","NM_001002034.2",7.66914807539635,3.87941222914173,1.03009161781343e-05,0.000652955836457741,"PHETA2","mRNA"
"62","NM_001002796.3",7.50983599909737,3.74130592687164,3.00824998369632e-05,0.00158275790509106,"MCTP1","transcriptvariantS"
"63","NM_001002838.3",-4.24069856425231,3.5847178577224,0.00135982113537122,0.0293014373496142,"WNK3","transcriptvariant2"
"64","NM_001003818.2",3.63669064728677,3.93595111348179,0.00243529090725166,0.0445995680343084,"TRIM6","transcriptvariant1"
"65","NM_001003819.3",5.01708796835274,3.31558281990052,0.000834584626023286,0.0204589795474312,"TRIM6-TRIM34","mRNA"
"66","NM_001003897.1",3.72357323382653,4.22384680570097,0.000820539463198089,0.0202276806995124,"MANBAL","transcriptvariant2"
"67","NM_001004125.2",-6.38026827552017,4.5444552112501,1.80725045814274e-06,0.000161841122659803,"TUSC1","mRNA"
"68","NM_001004439.1",-5.07443575311852,6.45399412478497,1.79769331934595e-06,0.000161839865024253,"ITGA11","mRNA"
"69","NM_001005242.2",7.57941113343501,4.85069956644816,1.8689180549669e-08,3.69405965098863e-06,"PKP2","transcriptvariant2a"
"70","NM_001005353.2",-8.40782909197814,4.55466239264865,3.13089704587942e-07,3.85909444868508e-05,"AK4","transcriptvariant1"
"71","NM_001005407.1",-4.52971056792781,4.31257635899726,0.0011508974605245,0.0259513774757528,"CACNA1H","transcriptvariant2"
"72","NM_001005476.2",2.00457174737135,6.43393790522954,0.00242401930944523,0.0445045888278061,"PKP4","transcriptvariant2"
"73","NM_001005619.1",-6.14209921493347,2.69441920656924,0.00201675377792612,0.0391918316100081,"ITGB4","transcriptvariant2"
"74","NM_001005731.2",-4.55049086966548,4.40520598371,0.000243573454639476,0.00804819517287666,"ITGB4","transcriptvariant3"
"75","NM_001005914.2",-3.52506764955037,4.46783400254209,0.00126021916180971,0.0276099320300324,"SEMA3B","transcriptvariant2"
"76","NM_001006115.2",-4.74427760741231,4.10024214979777,0.000109676907760683,0.00439910668422191,"IP6K1","transcriptvariant2"
"77","NM_001006600.2",2.39774037217764,5.81631965601158,0.000678388417627237,0.0176348837473242,"ERBIN","transcriptvariant7"
"78","NM_001006638.2",7.0397836407499,4.38166572661372,1.92482192383796e-06,0.000168249374537867,"RAB37","transcriptvariant2"
"79","NM_001007069.1",2.48448692778889,5.22761397103266,0.00264756406768736,0.0471872913444846,"SDCBP","transcriptvariant4"
"80","NM_001007267.2",4.75010597093075,2.73745668823663,0.0028659510347351,0.0499039410334033,"PLA2R1","transcriptvariant2"
