"","refseq","logFC","logCPM","PValue","FDR","GeneID","transcript_variant"
"1","NM_000014.5",6.78616086762001,3.16358691574141,0.000353323149252607,0.0105802811177292,"A2M","transcriptvariant1"
"2","NM_000044.4",3.07128817789636,4.134256109333,0.00130125975071873,0.027756812686564,"AR","transcriptvariant1"
"3","NM_000055.3",-5.54719291408233,3.11248098158885,0.000235397366870303,0.00772840752676598,"BCHE","transcriptvariant1"
"4","NM_000060.4",-5.28008731997954,2.77284743813292,0.00153054675805141,0.0308908660293097,"BTD","transcriptvariant3"
"5","NM_000064.3",-3.93880998848661,6.07779790763479,8.91313168869497e-05,0.00361068543110348,"C3","mRNA"
"6","NM_000071.2",2.24253425154737,6.26862505363437,0.00205919976733223,0.0380751102017324,"CBS","transcriptvariant1"
"7","NM_000079.3",-7.60447439742023,3.82849239078113,8.65311316473023e-06,0.000545196147373176,"CHRNA1","transcriptvariant2"
"8","NM_000088.3",2.11776884191287,12.3169589031663,0.000583511188895295,0.0153259565276114,"COL1A1","mRNA"
"9","NM_000090.3",-4.24946058187501,7.56795205358154,3.77982996610826e-06,0.000283162519797801,"COL3A1","mRNA"
"10","NM_000093.4",2.99891674923943,10.251827757514,6.15656757664721e-06,0.000431407001860439,"COL5A1","transcriptvariant1"
"11","NM_000094.3",2.39169878087736,9.17807578436369,0.000247591334409398,0.00800814701798942,"COL7A1","mRNA"
"12","NM_000101.3",-9.2253016552247,5.63080546894473,1.55141237491166e-12,7.19591271767535e-10,"CYBA","mRNA"
"13","NM_000104.3",3.84710052113038,4.33587291190375,0.000202700305545737,0.00695884513527096,"CYP1B1","mRNA"
"14","NM_000118.3",-2.94071556860182,4.05721960973027,0.00180164180952645,0.0346025666494216,"ENG","transcriptvariant2"
"15","NM_000141.4",6.39428795409231,2.86751456407379,0.000620680651163065,0.0160317988096621,"FGFR2","transcriptvariant1"
"16","NM_000186.3",-5.2778421168798,5.93190168851874,8.61119474455054e-08,1.21898730799482e-05,"CFH","transcriptvariant1"
"17","NM_000201.2",-3.0740534071768,6.61435874823112,0.00118791166171762,0.0259223966220661,"ICAM1","mRNA"
"18","NM_000204.4",6.92119979489375,4.39431581100661,2.62229461089659e-07,3.02465727606061e-05,"CFI","transcriptvariant2"
"19","NM_000210.3",-2.93770419056799,5.91034180570669,0.000427378977296061,0.0122429194547361,"ITGA6","transcriptvariant2"
"20","NM_000211.4",5.68601714316597,3.01392426512547,0.000327755202830469,0.00996522095077299,"ITGB2","transcriptvariant1"
"21","NM_000214.2",3.00343490092765,6.14878049439411,1.30114763016381e-05,0.000755867743988392,"JAG1","mRNA"
"22","NM_000222.2",5.52397905278747,3.47440604936405,0.000288979754204812,0.00902544218003568,"KIT","transcriptvariant1"
"23","NM_000224.2",-3.40474699002358,6.70964545021608,0.00163953761633498,0.0325518397414414,"KRT18","transcriptvariant1"
"24","NM_000240.3",6.5701212154574,3.21411941906132,0.000270932185375833,0.00858476982731564,"MAOA","transcriptvariant1"
"25","NM_000267.3",6.25146044357705,2.84767782892166,0.000769093678724078,0.0187596840045212,"NF1","transcriptvariant2"
"26","NM_000295.4",8.86085585151566,7.89471920855635,3.14504245692319e-09,6.78830946147777e-07,"SERPINA1","transcriptvariant1"
"27","NM_000366.5",2.83093968411763,6.054360651821,0.00128921333646216,0.027580815245216,"TPM1","transcriptvariantTpm1.5"
"28","NM_000389.4",-2.6806421329241,7.1038786005572,0.000194334283921948,0.00675618510214647,"CDKN1A","transcriptvariant1"
"29","NM_000422.2",-6.87755108328524,3.44732750673828,0.000134410698897609,0.00500880895037246,"KRT17","mRNA"
"30","NM_000428.2",-3.5252680104878,5.42130646862103,1.91624128689724e-05,0.001044351501359,"LTBP2","mRNA"
"31","NM_000459.4",-8.21174789742958,4.36689126393621,3.19429485632584e-07,3.60387072191907e-05,"TEK","transcriptvariant1"
"32","NM_000478.5",6.58053027756548,9.56093051316015,6.54290043238598e-18,1.18862691188345e-14,"ALPL","transcriptvariant1"
"33","NM_000489.4",-4.77534988892489,5.3304453501452,1.29606733156438e-07,1.69187232503614e-05,"ATRX","transcriptvariant1"
"34","NM_000495.4",-5.01787778026719,4.53171098791537,1.70030321067892e-05,0.000945576785530625,"COL4A5","transcriptvariant1"
"35","NM_000523.3",6.06764387150394,2.94512241359622,0.000505584654099387,0.0137771818242083,"HOXD13","mRNA"
"36","NM_000546.5",-7.16768293396123,4.30456426581872,4.32866063623982e-07,4.60316106683064e-05,"TP53","transcriptvariant1"
"37","NM_000565.3",7.44246409542074,3.69823185483385,0.000175993727120415,0.00618816653423394,"IL6R","transcriptvariant1"
"38","NM_000575.4",-6.33532585629173,3.664651045971,2.44220272867177e-05,0.00124683886381837,"IL1A","mRNA"
"39","NM_000576.2",-10.7216834974136,7.6279670401497,5.34165382582609e-20,3.8816017801003e-16,"IL1B","mRNA"
"40","NM_000599.3",2.2854601778164,6.5386967040692,0.00115871536642641,0.025427304254836,"IGFBP5","mRNA"
"41","NM_000600.4",-6.01945920585968,5.88372897017194,2.75387846550623e-08,4.65384112775472e-06,"IL6","transcriptvariant1"
"42","NM_000602.4",-3.87888530903093,10.9960485034545,4.3925542642797e-07,4.64458817200769e-05,"SERPINE1","mRNA"
"43","NM_000609.6",-3.51271634328785,4.08847986653088,0.00255151874767434,0.0448935502012111,"CXCL12","transcriptvariant2"
"44","NM_000612.5",-6.73576763575621,3.11269010385797,0.000983863913563383,0.0225533473351017,"IGF2","transcriptvariant1"
"45","NM_000615.6",3.12857831984887,5.76431696373934,2.63219053277414e-05,0.00131912077274658,"NCAM1","transcriptvariant1"
"46","NM_000635.3",4.65914703677744,3.6796121347846,0.000207095406531559,0.00704318231261777,"RFX2","transcriptvariant1"
"47","NM_000660.6",2.11436779460234,7.65406877883719,0.00160626837636262,0.0320665298577886,"TGFB1","mRNA"
"48","NM_000678.3",3.77758191917582,3.51158492392871,0.00146161231810356,0.0299345542056234,"ADRA1D","mRNA"
"49","NM_000690.3",2.24912814067132,5.76496620875281,0.00100005478172992,0.0229004141194457,"ALDH2","transcriptvariant1"
"50","NM_000693.3",-4.52108578415901,5.65521313878518,5.61770510351346e-07,5.69609168635318e-05,"ALDH1A3","transcriptvariant1"
