"","refseq","logFC","logCPM","PValue","FDR","GeneID","transcript_variant"
"1","NM_000044.4",3.73412186581375,4.63544637768265,3.0927305390661e-05,0.00138526154207363,"AR","transcriptvariant1"
"2","NM_000055.3",-4.60841726741501,3.10882652927017,0.00114612444732646,0.026045437283047,"BCHE","transcriptvariant1"
"3","NM_000064.3",-7.6360827351162,5.95170384685448,1.59980274908994e-13,6.29275139523851e-11,"C3","mRNA"
"4","NM_000075.3",3.77529426414847,11.0469691457701,2.8895947677352e-08,3.57219961172477e-06,"CDK4","mRNA"
"5","NM_000079.3",-3.29409147075926,3.91243433078416,0.00225574377386457,0.0430721631101377,"CHRNA1","transcriptvariant2"
"6","NM_000088.3",2.78110137233679,12.8259760149534,1.04124813326053e-05,0.000565988997863272,"COL1A1","mRNA"
"7","NM_000089.3",3.27896195433344,12.6491727038624,4.16224294921501e-07,3.702067007095e-05,"COL1A2","mRNA"
"8","NM_000090.3",3.72945662164996,11.2561150167152,1.44239119208188e-05,0.000742968834511891,"COL3A1","mRNA"
"9","NM_000101.3",-9.26831563056981,5.58899766398591,4.38106605232752e-13,1.55377021272219e-10,"CYBA","mRNA"
"10","NM_000104.3",4.32458153858048,4.69820587995793,4.86826715915818e-06,0.000297909261596664,"CYP1B1","mRNA"
"11","NM_000112.3",3.13782736759692,6.98635111670858,8.48236283397619e-07,6.64882020109569e-05,"SLC26A2","mRNA"
"12","NM_000118.3",-3.36499010964282,3.985015721346,0.00185356137881974,0.03744159371558,"ENG","transcriptvariant2"
"13","NM_000204.4",8.1761167437533,5.53327856414684,5.44159825236529e-12,1.51189015339405e-09,"CFI","transcriptvariant2"
"14","NM_000211.4",8.99092064875853,5.92372251130758,2.64475413184988e-14,1.3306188578707e-11,"ITGB2","transcriptvariant1"
"15","NM_000212.2",3.65952594874512,8.10185228703579,7.56976327973796e-08,8.4414566388583e-06,"ITGB3","mRNA"
"16","NM_000215.3",4.19890155836819,4.06229768279126,0.000218781892873708,0.00690967513931359,"JAK3","mRNA"
"17","NM_000216.3",3.21271713846867,4.06772596977278,0.000720491934799656,0.0180265860550301,"ANOS1","mRNA"
"18","NM_000224.2",-3.18742784996387,6.69551028532207,0.000623614119948787,0.0162636740705706,"KRT18","transcriptvariant1"
"19","NM_000237.2",6.80044447881244,3.67534714878786,2.40201867057008e-05,0.00111513459053891,"LPL","mRNA"
"20","NM_000240.3",7.01656412302977,3.55845139663783,3.14536998649428e-05,0.00140014268081928,"MAOA","transcriptvariant1"
"21","NM_000245.3",-3.59422320082267,6.80850724193466,1.00960811139143e-07,1.08128029118031e-05,"MET","transcriptvariant2"
"22","NM_000267.3",7.32648981290792,3.6847068701482,2.01711984125797e-05,0.000975042409212311,"NF1","transcriptvariant2"
"23","NM_000270.3",-2.27679459054928,6.42077380985642,0.000323731053519446,0.0095808448862376,"PNP","mRNA"
"24","NM_000289.5",4.25877304369822,7.90809059369198,0.00164823591267918,0.034552263309013,"PFKM","transcriptvariant4"
"25","NM_000313.3",3.14330763355038,4.94946757159404,5.29710473229465e-05,0.00214602179360417,"PROS1","transcriptvariant2"
"26","NM_000396.3",5.45320179195996,6.25342924002267,5.56948412384606e-12,1.52519265234539e-09,"CTSK","mRNA"
"27","NM_000420.2",6.07995038899957,3.09190784622185,0.00022621668940491,0.00707597665640576,"KEL","mRNA"
"28","NM_000422.2",7.58455363322783,10.7067882734765,9.64064199938627e-19,1.73804707512269e-15,"KRT17","mRNA"
"29","NM_000435.2",3.55081506675962,6.81226700745127,8.21985384612453e-07,6.46648429480211e-05,"NOTCH3","mRNA"
"30","NM_000474.3",2.14074143447748,5.42686731221461,0.00159722383362838,0.0337115516260648,"TWIST1","transcriptvariant1"
"31","NM_000475.4",5.7281059336948,2.82848643823453,0.00129676675682446,0.0286560286181209,"NR0B1","mRNA"
"32","NM_000478.5",5.45926107103439,8.41690999604717,3.43940749005661e-13,1.28289899379111e-10,"ALPL","transcriptvariant1"
"33","NM_000496.2",2.93347008101483,4.37456428070543,0.000567980386894683,0.0150769174111406,"CRYBB2","mRNA"
"34","NM_000535.6",5.77086419983553,3.00405617476153,0.000224757086703294,0.00705717679787963,"PMS2","transcriptvariant1"
"35","NM_000544.3",-5.08220994147923,4.79229002712059,1.05490608035244e-06,7.95185997991107e-05,"TAP2","transcriptvariant1"
"36","NM_000561.3",6.44726113048698,4.38441002204439,6.77560003646044e-07,5.57351069158879e-05,"GSTM1","transcriptvariant1"
"37","NM_000565.3",8.0728490236522,4.24037539954228,2.55224433154795e-07,2.41114645714884e-05,"IL6R","transcriptvariant1"
"38","NM_000575.4",-3.2369175894758,3.74503178726064,0.00176334433673019,0.0361604951196991,"IL1A","mRNA"
"39","NM_000576.2",-6.45133787422856,7.60004007186576,1.63322240095273e-15,1.07070101279429e-12,"IL1B","mRNA"
"40","NM_000584.3",-5.52981775397203,7.96530491495081,6.94435056461373e-11,1.59823489483887e-08,"CXCL8","transcriptvariant1"
"41","NM_000591.3",5.30805460306615,2.93676665852193,0.00258549108949927,0.0477664510932769,"CD14","transcriptvariant1"
"42","NM_000599.3",-4.18133961816861,4.15642113806575,0.00033520034217838,0.0098681044645899,"IGFBP5","mRNA"
"43","NM_000600.4",-4.25358122641279,5.88235017506828,4.91688011317661e-06,0.000297960180303817,"IL6","transcriptvariant1"
"44","NM_000602.4",-6.60702242679163,10.8773378101634,2.59622472977073e-14,1.3306188578707e-11,"SERPINE1","mRNA"
"45","NM_000609.6",-5.95241395309792,3.96108430474534,6.62773846972657e-05,0.00259754518213885,"CXCL12","transcriptvariant2"
"46","NM_000615.6",3.07171178587875,5.66419091227525,1.19211465067904e-05,0.000635226806718972,"NCAM1","transcriptvariant1"
"47","NM_000623.3",2.51744086640561,5.94450700194231,0.000793230621808077,0.0193696050451439,"BDKRB2","mRNA"
"48","NM_000627.3",-7.95925617413456,4.14718242994569,4.89311805439012e-07,4.18409944619272e-05,"LTBP1","transcriptvariant2"
"49","NM_000628.4",2.03125670778302,5.47047246295227,0.00238396747069483,0.0449649104280838,"IL10RB","mRNA"
"50","NM_000694.3",2.38113327099114,5.40281593427056,0.000653175923862802,0.0167824322290355,"ALDH3B1","transcriptvariant1"
"51","NM_000719.6",6.9436385085423,3.42500945713921,4.14369121414234e-05,0.00175087140091319,"CACNA1C","transcriptvariant18"
"52","NM_000758.3",-5.02065208409511,3.06901878334331,0.00120411352561043,0.0270029028788759,"CSF2","mRNA"
"53","NM_000784.3",3.73506866166388,3.79916786211487,0.000364501762460296,0.0104445445418093,"CYP27A1","mRNA"
"54","NM_000794.4",9.2214784568418,5.30644155378627,7.86429360609863e-12,2.07483082773583e-09,"DRD1","mRNA"
"55","NM_000808.3",-4.19876420985667,3.31658439581874,0.000454921969932719,0.0125693255396225,"GABRA3","mRNA"
"56","NM_000877.3",3.74304352983299,4.60828978385745,0.000386501116838373,0.0109588009982718,"IL1R1","transcriptvariant1"
"57","NM_000895.2",3.14445881829334,8.60300353782032,1.92005252955342e-07,1.89673134357802e-05,"LTA4H","transcriptvariant1"
"58","NM_000930.4",-3.17645272187042,7.79854366842362,4.06360305710148e-07,3.64735627588158e-05,"PLAT","transcriptvariant1"
"59","NM_000935.2",-3.23983240055848,4.70028287823005,0.00194775417712288,0.0389140240584647,"PLOD2","transcriptvariant2"
"60","NM_000943.4",3.16782681328088,6.03174993867081,3.62610644547712e-06,0.000235577137662018,"PPIC","mRNA"
"61","NM_001001389.1",-3.77159358215565,4.66037863996251,1.9700446610008e-05,0.000957751599912162,"CD44","transcriptvariant2"
"62","NM_001001390.1",-4.16269878381459,4.36546967029804,8.94749329308499e-05,0.00325327848575799,"CD44","transcriptvariant3"
"63","NM_001001420.2",2.09635053367981,5.71246448789781,0.00154946045277546,0.0330256427934427,"SMAD5","transcriptvariant3"
"64","NM_001001522.2",-4.08560339081834,4.91145916711421,3.3216283406513e-06,0.000217100022724019,"TAGLN","transcriptvariant1"
"65","NM_001001550.2",-3.8749434191816,3.47955034915538,0.0026512470789387,0.04848442882989,"GRB10","transcriptvariant3"
"66","NM_001001567.1",6.29656645328981,2.7836709271302,0.000650949644959811,0.0167451184531041,"PDE9A","transcriptvariant2"
"67","NM_001001851.2",5.13024601784005,3.18808863351476,0.00178896110445882,0.0365461610329199,"ITIH5","transcriptvariant3"
"68","NM_001001933.1",6.40330156899936,2.86100499459366,0.000464137501485242,0.012758768369926,"LHX8","transcriptvariant1"
"69","NM_001001991.2",4.12428801974451,6.12409111752956,1.85313297946041e-08,2.42973811379676e-06,"PAMR1","transcriptvariant2"
"70","NM_001002034.2",3.15867662490478,3.98668201768432,0.000636227090374756,0.016424984335522,"PHETA2","mRNA"
"71","NM_001002295.1",-4.59380704130085,3.41577366809204,0.000960706372114177,0.0227893877788576,"GATA3","transcriptvariant1"
"72","NM_001004125.2",-5.33096739159303,3.61124044455137,9.54957390928296e-05,0.00341480135460211,"TUSC1","mRNA"
"73","NM_001004128.2",-2.30911345206353,6.78241456098791,0.000177244861581742,0.00578351905317318,"QSOX1","transcriptvariant2"
"74","NM_001004439.1",-3.03892826995865,4.60221369288545,0.00261944160537524,0.0481879249070476,"ITGA11","mRNA"
"75","NM_001005242.2",3.98142598702059,4.90124836022028,2.29704972310771e-06,0.000158347718680608,"PKP2","transcriptvariant2a"
"76","NM_001005376.2",-3.77357894907016,4.63159570093589,2.2042467503831e-05,0.00104391058446937,"PLAUR","transcriptvariant2"
"77","NM_001005377.2",-4.7955292090768,2.92206855502779,0.00244284082817778,0.0458355754352109,"PLAUR","transcriptvariant3"
"78","NM_001005463.2",-7.75284164006154,4.18168613228761,4.5715820714241e-07,3.95606426132756e-05,"EBF3","mRNA"
"79","NM_001005502.2",3.10833784310262,5.03202145710467,0.0016614636306367,0.0346958962194014,"CPM","transcriptvariant3"
"80","NM_001006638.2",8.19845762502198,4.35400136821214,4.28886266644061e-07,3.74134092442646e-05,"RAB37","transcriptvariant2"
"81","NM_001007237.2",5.18387133805799,4.97273028758813,9.10591340695403e-07,7.01058116178091e-05,"IGSF3","transcriptvariant2"
"82","NM_001008.3",10.79877153113,7.28714822035212,7.54481078829463e-20,1.81360485104407e-16,"RPS4Y1","mRNA"
"83","NM_001008701.2",3.46002521045027,3.68485330833699,0.00179569509501597,0.0366161881698561,"ADGRL1","transcriptvariant1"
"84","NM_001008844.2",-7.83295997542093,4.16739361943225,4.09884030438124e-06,0.000260806797485246,"DSP","transcriptvariant2"
"85","NM_001010924.1",2.56096012681433,6.14425222673187,9.07087484187105e-05,0.00327611529764672,"FAM171A1","mRNA"
"86","NM_001012301.3",-7.8636123862389,5.08598511950411,1.0658016792664e-10,2.30575535292493e-08,"ARSI","mRNA"
"87","NM_001012632.1",4.02766441687491,3.94355472700628,0.00015019664256596,0.00502218572685005,"IL32","transcriptvariant3"
"88","NM_001012761.2",-2.7860016088931,7.82529920266111,5.99677201151955e-06,0.000353499089093226,"RGMB","mRNA"
"89","NM_001012967.2",-7.18926411303684,3.48727260951986,7.17741578666837e-05,0.00275510725587226,"DDX60L","transcriptvariant1"
"90","NM_001013257.2",2.76406060334612,5.4076951229086,0.000148890276825333,0.00499394147106861,"BCAM","transcriptvariant2"
"91","NM_001013635.3",3.33497551347882,4.2463342680476,0.00115630015016921,0.0262010727782295,"CCDC184","mRNA"
"92","NM_001013839.3",-4.53067732280874,4.19144431873808,1.29255042468317e-05,0.000673105093801975,"EXOC7","transcriptvariant1"
"93","NM_001014447.2",9.22072912621602,7.09665724409884,4.36529917045832e-17,4.29267646607706e-14,"CPZ","transcriptvariant1"
"94","NM_001014448.2",8.04226037944412,4.95922776377761,2.33923668224272e-08,2.97688508139053e-06,"CPZ","transcriptvariant3"
"95","NM_001015053.1",2.1972273291971,5.72194140883647,0.000807818747475808,0.0196363491942603,"HDAC5","transcriptvariant3"
"96","NM_001017372.2",7.49725848066852,3.73523015401443,9.87619483705881e-06,0.000540915440771975,"SLC27A6","transcriptvariant2"
"97","NM_001017402.1",-3.95750079163881,3.95956040835414,0.000194478311217392,0.00622388133857554,"LAMB3","transcriptvariant2"
"98","NM_001017534.1",4.32662452861354,2.9627813884914,0.00190859968091878,0.0383742058522275,"CARD16","transcriptvariant1"
"99","NM_001017956.2",3.61699047615018,8.9560536414689,4.81041818438045e-07,4.12970583336851e-05,"OS9","transcriptvariant2"
"100","NM_001017958.2",3.96653705351472,6.58199367024301,7.01778282626668e-09,1.00544843485731e-06,"OS9","transcriptvariant4"
"101","NM_001018109.2",2.91522134400075,4.02047308663998,0.00117714283424205,0.02663075653097,"PIR","transcriptvariant2"
"102","NM_001018111.2",-3.94348840221184,4.60321996815559,7.51899236848919e-05,0.00285880282776617,"PODXL","transcriptvariant1"
"103","NM_001024465.2",-2.67993149534208,5.62007669228855,7.72823594363242e-05,0.00291276404885965,"SOD2","transcriptvariant2"
"104","NM_001025100.1",-6.67487368977575,3.29577144625778,7.18258524688894e-05,0.00275510725587226,"MBP","transcriptvariant8"
"105","NM_001025389.1",-3.98806949371616,3.69793663533809,0.000335261938683257,0.0098681044645899,"AMPD3","transcriptvariant2"
"106","NM_001026.4",-2.80667047522223,7.92829918288734,1.57984371441868e-05,0.000800429482850906,"RPS24","transcriptvariantc"
"107","NM_001031683.3",-4.98358525010928,7.12462048659889,1.52559526661476e-06,0.000110383705678742,"IFIT3","transcriptvariant2"
"108","NM_001031692.2",-2.86457622092177,7.19521774365727,1.43572331869847e-05,0.000742968834511891,"LRRC17","transcriptvariant1"
"109","NM_001031803.1",5.74564367030631,2.41098749385899,0.00263970355382953,0.0484782229911274,"LLGL2","transcriptvariant3"
"110","NM_001031804.2",7.37707695603505,3.6327139128828,1.11235799763335e-05,0.000603126639619045,"MAF","transcriptvariant2"
"111","NM_001032295.1",-3.48347142270357,3.58970568018055,0.00194803956990465,0.0389140240584647,"SERPING1","transcriptvariant2"
"112","NM_001032409.2",-7.33167325596087,4.29043597733939,5.68729083346948e-05,0.00228272448777883,"OAS1","transcriptvariant3"
"113","NM_001037160.2",5.13016590922711,4.0383632703371,6.145301910176e-06,0.000360291223644302,"CYS1","mRNA"
"114","NM_001037333.2",-3.83236612182231,3.72851783048927,0.000855855032772047,0.0205957372402564,"CYFIP2","transcriptvariant1"
"115","NM_001037335.2",-2.43482061347229,6.96185922914211,0.000610652372133229,0.0159937692720706,"HELZ2","transcriptvariant1"
"116","NM_001039348.2",4.36818288456298,5.74574265474198,6.41660568334276e-08,7.46327136308802e-06,"EFEMP1","transcriptvariant2"
"117","NM_001039349.2",3.8665779984716,7.26434520717787,1.3291127378119e-08,1.78596428383992e-06,"EFEMP1","transcriptvariant3"
"118","NM_001039490.1",-2.70942621179532,5.39769884351802,0.00113950452485581,0.0259768607910753,"CD151","transcriptvariant5"
"119","NM_001039523.2",-6.75896587850183,3.14248896408,0.000132275812766008,0.00454953089567539,"CHRNA1","transcriptvariant1"
"120","NM_001039570.2",3.09457645264499,5.56722035003863,2.34393162462184e-05,0.00109758910751231,"KREMEN1","transcriptvariant3"
"121","NM_001039999.2",-2.65199551582474,4.39804575732471,0.00204099000386172,0.0400678563916011,"FAM83G","mRNA"
"122","NM_001040092.2",4.87589405176898,6.42170770955581,2.53726565574452e-10,5.08251899966453e-08,"ENPP2","transcriptvariant2"
"123","NM_001040272.5",-4.21439842665938,5.17082614968738,1.01845729855307e-06,7.73098427961306e-05,"ADAMTSL1","transcriptvariant4"
"124","NM_001042467.2",-5.335228880002,3.61859344345839,0.000115486731074977,0.00405767351581324,"MLPH","transcriptvariant2"
"125","NM_001042544.1",-8.29858869398842,4.4517423377258,3.07758182578142e-07,2.84531646234851e-05,"LTBP4","transcriptvariant1"
"126","NM_001042545.1",8.75889033308732,4.87020193760269,8.78146770495556e-09,1.21780943800647e-06,"LTBP4","transcriptvariant3"
"127","NM_001042664.1",-5.70946960361996,2.40163988645163,0.00254548837675553,0.0471390731005065,"PLEKHG5","transcriptvariant4"
"128","NM_001042751.1",6.21706877654536,3.72969943954215,4.92711164647969e-05,0.00202264010170667,"STAG2","transcriptvariant3"
"129","NM_001044723.2",5.35689587735215,2.53803443287286,0.00254511798339582,0.0471390731005065,"CSNK1G3","transcriptvariant4"
"130","NM_001049.2",-7.04539147165824,3.77590993912461,4.5305672186188e-06,0.000281650262090802,"SSTR1","mRNA"
"131","NM_001066.2",-2.81497116323755,4.58853649879281,0.000767649094574018,0.0188934249283439,"TNFRSF1B","mRNA"
"132","NM_001078.3",4.48579479005546,5.55378591855157,1.63226882904673e-07,1.65447791183794e-05,"VCAM1","transcriptvariant1"
"133","NM_001078166.1",2.12841811282234,6.45050216466494,0.00209855698554257,0.0407787139548015,"SRSF1","transcriptvariant2"
"134","NM_001079804.2",2.63391762833632,5.49203612645462,0.000497483119967252,0.0135207912278537,"GAA","transcriptvariant3"
"135","NM_001079821.2",-6.58769861446926,3.01136395368735,0.000241234021398372,0.00745550974133198,"NLRP3","transcriptvariant3"
"136","NM_001080157.1",7.25760280472026,3.53329245827783,7.76525642082186e-05,0.00291949254437224,"ARHGAP9","transcriptvariant2"
"137","NM_001080209.2",7.03302987653077,3.34781339952193,5.40197749705284e-05,0.00217628270337507,"TMEM200C","mRNA"
"138","NM_001080391.1",-2.33569956012803,5.83453982418559,0.000658805394334955,0.0168869619680597,"SP100","transcriptvariant1"
"139","NM_001080423.3",5.40352435273817,3.2904816598088,0.000105810492569781,0.00377117660009002,"GRIP2","mRNA"
"140","NM_001080425.3",-4.48489406425276,3.52993448980982,0.000140526218575566,0.00476511632078965,"BEX4","transcriptvariant2"
"141","NM_001080428.2",4.00579575854821,6.11161541101215,6.6175809904282e-08,7.57862649444514e-06,"TENM2","transcriptvariant2"
"142","NM_001080437.2",5.07426665246333,5.9390428665308,3.11965624553386e-10,6.17619747158788e-08,"SNED1","mRNA"
"143","NM_001080471.1",-5.37431448658264,5.47204041057472,1.15350761307323e-09,1.89123917234385e-07,"PEAR1","transcriptvariant1"
"144","NM_001080480.2",2.63090224619908,4.88669789980288,0.000603243318349653,0.0158380654723015,"MBOAT1","transcriptvariant1"
"145","NM_001080509.2",3.78439307936692,3.77853004834389,0.000407363935183657,0.0114009202765372,"TSPAN11","mRNA"
"146","NM_001080512.2",2.49613220564663,5.92392374463022,0.000137122677460417,0.00468643286600103,"BICC1","mRNA"
"147","NM_001081640.1",3.16819666951591,6.86867580080874,4.59032888532495e-06,0.000283734786014629,"PRKDC","transcriptvariant2"
"148","NM_001082967.2",8.87424835344608,4.97805261085334,4.30283399920981e-10,8.23783280875265e-08,"FAM19A5","transcriptvariant1"
"149","NM_001083.3",5.5344613027704,4.63482691226261,7.04928352666498e-07,5.69006274316072e-05,"PDE5A","transcriptvariant1"
"150","NM_001083602.2",9.29627535353166,5.37794254574605,6.09180964425751e-11,1.4325022809116e-08,"PTCH1","transcriptvariant1a"
"151","NM_001083604.2",4.86234510844119,4.56368574700997,1.13008642909652e-05,0.000609683037582897,"PTCH1","transcriptvariant1c"
"152","NM_001083605.2",7.21894042848953,6.3188530740137,7.39546178550108e-11,1.684141265974e-08,"PTCH1","transcriptvariant1c'"
"153","NM_001085049.2",4.09794922130114,5.87247531974945,5.17270086340805e-08,6.14869288345988e-06,"MRAS","transcriptvariant2"
"154","NM_001085466.1",3.88420188129284,3.02183664045059,0.00229571660243871,0.0436428233542699,"CTNND1","transcriptvariant10"
"155","NM_001098270.1",5.08841984563555,4.09407605772053,4.91573286241704e-06,0.000297960180303817,"MGAT3","transcriptvariant2"
"156","NM_001098484.2",-7.13797893395469,3.44479111612553,3.08737367771709e-05,0.00138526154207363,"SLC4A4","transcriptvariant1"
"157","NM_001098816.2",-5.93852252817879,3.49947148474148,7.3915360471022e-05,0.00282025557042344,"TENM4","mRNA"
"158","NM_001099294.1",4.99639417513816,3.76696386734342,0.000177510245507395,0.00578351905317318,"SHISAL1","mRNA"
"159","NM_001099645.1",-3.30910726927529,5.11400002683551,5.01390608982553e-05,0.00205048855098838,"RPL22L1","transcriptvariant1"
"160","NM_001102426.2",3.25446061306541,4.73097015533044,0.000266574774536831,0.00814559134509858,"TBC1D8","transcriptvariant2"
"161","NM_001104587.1",7.61380650166172,3.83590169903181,2.01913191886436e-05,0.000975042409212311,"SLFN11","transcriptvariant1"
"162","NM_001105206.2",7.94190641161977,4.1240725577521,3.72792237180196e-06,0.000240029382712987,"LAMA4","transcriptvariant1"
"163","NM_001110514.1",5.29473624806883,3.55265637029576,0.000351344329388649,0.0101481751962537,"EBF4","transcriptvariant1"
"164","NM_001111018.1",6.07971534564021,2.6557241499414,0.00101279643509841,0.0236573179300083,"NAV2","transcriptvariant3"
"165","NM_001111270.2",5.91702589298688,6.98535164555782,4.45308569562427e-12,1.30186562079913e-09,"ARHGEF25","transcriptvariant3"
"166","NM_001111307.1",6.66849395660108,3.05931184714273,0.000676192896392489,0.0172305737580154,"PDE4A","transcriptvariant1"
"167","NM_001111309.1",3.36641410467525,3.99209047921448,0.00182928825992425,0.0370495223872565,"PDE4A","transcriptvariant3"
"168","NM_001112718.3",4.36116442349975,4.04065464538619,8.43011934588683e-05,0.00311223894076648,"LIMCH1","transcriptvariant3"
"169","NM_001113380.1",-4.43969943198558,5.19417213632177,7.07509881626251e-07,5.69006274316072e-05,"RGS4","transcriptvariant3"
"170","NM_001114090.1",5.08247683858834,4.33871972927758,4.88849902314947e-06,0.000297909261596664,"NGEF","transcriptvariant2"
"171","NM_001114107.4",2.05710148455672,5.98020743166664,0.00114163317155985,0.0259979916142378,"PDLIM3","transcriptvariant2"
"172","NM_001118887.1",4.54302402854133,4.40549127385496,1.52687814237865e-05,0.000780909733622218,"ANGPT2","transcriptvariant2"
"173","NM_001122.3",-2.31537996463282,5.80512482457145,0.000448655927627558,0.0124279415343081,"PLIN2","transcriptvariant1"
"174","NM_001122679.1",3.68266297446368,5.26796227020787,6.84765636378686e-06,0.000396102133086002,"TENM2","transcriptvariant1"
"175","NM_001122772.2",2.9010270642519,4.7164065605469,0.000601411074699169,0.015809146038933,"AGAP2","transcriptvariant1"
"176","NM_001124.2",-5.08494971172656,5.71426124809613,4.85922936367169e-09,7.24997021059816e-07,"ADM","mRNA"
"177","NM_001127213.1",-2.873660580045,6.08382903206479,0.000349890367327437,0.0101196901159917,"LY6E","transcriptvariant2"
"178","NM_001127366.2",-6.50257377382128,2.94749769959787,0.000352894850241488,0.0101716279975757,"PAX3","transcriptvariantPAX3I"
